Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,49,49,0,51,51,0,51,51,0
11eil51,28,28,0,43,43,0,50,50,0
14st70,41,41,0,56,56,0,60,60,0
16eil76,44,44,0,58,58,0,71,71,0
16pr76,51,51,0,67,67,0,73,73,0
20kroA100,57,57,0,90,90,0,98,98,0
20kroB100,74,74,0,93,93,0,98,98,0
20kroC100,55,55,0,81,81,0,93,93,0
20kroD100,61,61,0,83,83,0,93,93,0
20kroE100,77,77,0,91,91,0,97,97,0
20rat99,44,44,0,70,70,0,87,87,0
20rd100,76,76,0,84,84,0,97,97,0
21eil101,69,69,0,89,89,0,99,99,0
21lin105,80,80,0,90,90,0,102,102,0
22pr107,70,70,0,73,73,0,94,94,0
25pr124,81,81,0,104,104,0,119,119,0
26bier127,124,124,0,126,126,0,126,126,0
26ch130,90,90,0,120,120,0,127,127,0
28pr136,99,99,0,117,117,0,132,132,0
29pr144,100,100,0,137,137,0,141,141,0
30ch150,92,92,0,122,122,0,144,144,0.0
30kroA150,83,83,0,128,128,0,149,149,0
30kroB150,84,84,0,141,141,0,147,147,0
31pr152,89,89,0,130,130,0,148,148,0
32u159,111,111,0,141,141,0,153,153,0
39rat195,99,99,0,155,155,0,183,183,0
40d198,-,0,#VALUE!,49,49,0,179,179,0
40kroa200,140,140,0,187,187,0,199,199,0
40krob200,147,147,0,186,186,0.0,198,198,0
45ts225,147,147,0,205,205,0,224,224,0
45tsp225,93,93,0,172,172,0,208,208,0
46pr226,185,185,0,206,206,0,215,215,0
53gil262,150,150,0,223,221,-0.00896860986547085,252,252,0
53pr264,235,232,-0.0127659574468085,252,252,0,252,252,0
56a280,176,175,-0.005681818181818182,232,232,0,259,259,0
60pr299,168,168,0,262,262,0,286,286,0
64lin318,265,265,0,296,296,0.0,314,314,0
80rd400,336,332,-0.0119047619047619,394,394,0,399,399,0
84fl417,371,371,0,390,390,0,397,397,0
88pr439,368,368,0,436,436,0,438,438,0
89pcb442,342,342,0,429,428,-0.002331002331002331,441,441,0
99d493,3,3,0,267,267,0,465,462,-0.00645161290322581
115rat575,381,373,-0.020997375328084,517,514,-0.0058027079303675,571,571,0
115u574,441,437,-0.009070294784580499,560,560,0,573,573,0
131p654,547,547,0,610,611,0.00163934426229508,634,634,0
132d657,240,239,-0.00416666666666667,542,537,-0.00922509225092251,647,646,-0.00154559505409583
145u724,530,511,-0.0358490566037736,688,687,-0.00145348837209302,720,720,0
157rat783,541,532,-0.0166358595194085,714,712,-0.00280112044817927,780,782,0.00256410256410256
201pr1002,788,771,-0.0215736040609137,963,938,-0.0259605399792316,1001,1000,-0.000999000999000999
212u1060,940,878,-0.0659574468085106,1045,1045,0,1058,1058,0
217vm1084,1029,1030,0.000971817298347911,1080,1076,-0.0037037037037037,1083,1083,0
