Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,1829,1829,0,2023,2023,0,2046,2046,0
11eil51,1279,1279,0,1466,1466,0,1798,1798,0
14st70,877,877,0,1672,1672,0,2213,2213,0
16eil76,1845,1845,0,2494,2494,0,2787,2787,0
16pr76,1285,1285,0,2022,2022,0,3083,3083,0
20kroA100,1530,1530,0,2739,2739,0,3569,3569,0
20kroB100,1927,1927,0,2738,2738,0,3203,3203,0
20kroC100,760,760,0,2272,2272,0,3203,3203,0
20kroD100,1293,1293,0,2070,2070,0,2554,2554,0
20kroE100,1959,1959,0,2554,2554,0,2756,2756,0
20rat99,591,591,0,1470,1470,0,2382,2382,0
20rd100,1695,1695,0,2178,2178,0,3388,3388,0
21eil101,2111,2111,0,3375,3375,0,4246,4246,0
21lin105,1436,1436,0,1827,1827,0,2852,2852,0
22pr107,1182,1182,0,1800,1800,0,2123,2123,0
25pr124,1706,1706,0,2323,2323,0,4132,4132,0
26bier127,5145,5145,0,5653,5653,0,6015,6015,0
26ch130,2530,2530,0,4014,4014,0,5109,5109,0
28pr136,1626,1626,0,2468,2468,0,4005,4005,0
29pr144,1738,1738,0,3029,3029,0,4339,4339,0
30ch150,1823,1823,0,3209,3209,0,4910,4910,0
30kroA150,2246,2246,0,3907,3907,0,5283,5283,0
30kroB150,2255,2255,0,3982,3982,0,5501,5501,0
31pr152,962,962,0,2576,2576,0,4060,4060,0
32u159,2042,2022,-0.00979431929480901,3809,3789,-0.00525072197427146,4995,4995,0
39rat195,1945,1945,0,3354,3354,0,5226,5226,0
40d198,-,0,#VALUE!,313,313,0,4324,4324,0
40kroa200,3274,3274,0,5389,5389,0,7782,7782,0
40krob200,3312,3312,0,5652,5652,0,7008,7008,0
45ts225,3256,3256,0,5489,5489,0,7682,7682,0
45tsp225,1483,1483,0,3629,3629,0,6379,6379,0
46pr226,2486,2486,0,4505,4505,0,7067,7067,0
53gil262,2473,2473,0,4563,4563,0,8447,8447,0
53pr264,5657,5657,0,6588,6588,0,6588,6588,0
56a280,3168,3168,0,6008,6008,0,8124,8124,0
60pr299,2713,2713,0,6563,6563,0,8421,8421,0
64lin318,4775,4775,0,8458,8458,0,12805,12805,0
80rd400,9956,9956,0,14161,14161,0,17917,17907,-0.0005581291510855613
84fl417,9917,9917,0,11918,11918,0,13516,12972,-0.0402485942586564
88pr439,8636,8615,-0.0024316813339509,18005,17984,-0.00116634268258817,20712,20712,0
89pcb442,7414,7414,0,13640,13640,0,18293,18293,0
99d493,83,83,0,2427,2427,0,18069,18111,0.00232442304499419
115rat575,9631,9631,0,15723,15696,-0.00171722953634803,21660,21660,0.0
115u574,10002,10002,0,16497,16494,-0.0001818512456810329,24222,24148,-0.00305507389976055
131p654,8433,8433,0,16476,16476,0,23365,23365,0
132d657,5932,5932,0,15375,15375,0,25052,24928,-0.00494970461440204
145u724,13167,13167,0,20309,20247,-0.00305283371904082,29130,28704,-0.0146240988671473
157rat783,14056,14056,0,22803,22756,-0.00206113230715257,31487,30757,-0.0231841712452758
201pr1002,20071,19917,-0.00767276169597927,33307,32645,-0.0198757018044255,44132,42992,-0.0258315961207287
212u1060,24393,24273,-0.00491944410281638,35481,33946,-0.043262591246019,48975,47779,-0.0244206227667177
217vm1084,29438,29423,-0.000509545485426999,42242,41580,-0.0156716064580276,50687,50143,-0.0107325349695188
